loss,perplexity,eval_loss,eval_perplexity,epoch,time
10.553570747375488,45526.37890625,9.804173469543457,22600.353515625,0,30.805124044418335
7.752742290496826,3289.263671875,8.931112289428711,13466.6025390625,1,19.0758159160614
6.133327484130859,556.8693237304688,9.059765815734863,16377.5498046875,2,9.985028982162476
5.557549953460693,310.22430419921875,9.197554588317871,21906.865234375,3,9.30949091911316
5.164437294006348,192.0221405029297,9.515968322753906,32341.08984375,4,9.157114267349243
4.964258670806885,157.68089294433594,9.647285461425781,40468.71875,5,8.957265853881836
4.866786479949951,141.35630798339844,9.895774841308594,59945.0234375,6,11.257492303848267
4.702356338500977,121.73406219482422,9.907180786132812,60283.48046875,7,10.314491987228394
4.622125625610352,109.3414306640625,10.045697212219238,68040.5,8,10.500957012176514
4.501243591308594,96.24803161621094,10.31108570098877,91861.46875,9,13.878923177719116
