epoch,batch,loss,perplexity
0,0,11.680166244506836,118203.8828125
0,1,10.943486213684082,56584.265625
0,2,11.456979751586914,94559.046875
0,3,10.972851753234863,58270.53125
0,4,10.805693626403809,49300.703125
0,5,11.249970436096191,76877.6484375
0,6,10.674331665039062,43231.80078125
0,7,10.457807540893555,34815.13671875
0,8,11.372881889343262,86932.03125
0,9,10.321611404418945,30382.17578125
0,10,11.047200202941895,62767.96875
0,11,9.274011611938477,10657.419921875
0,12,10.438776016235352,34158.81640625
0,13,9.504363059997559,13418.1435546875
0,14,9.971573829650879,21409.15234375
0,15,10.063725471496582,23475.80078125
0,16,10.04104995727539,22949.466796875
0,17,10.61972713470459,40934.4453125
0,18,10.584134101867676,39503.0859375
0,19,10.803728103637695,49203.8984375
0,20,9.927573204040527,20487.560546875
0,21,10.80605411529541,49318.4765625
0,22,10.106369018554688,24498.544921875
0,23,9.82610034942627,18510.62890625
0,24,9.803428649902344,18095.681640625
1,0,9.645817756652832,15457.0078125
1,1,8.515907287597656,4993.57470703125
1,2,8.849963188171387,6974.13232421875
1,3,7.7487335205078125,2318.634033203125
1,4,8.075739860534668,3215.505615234375
1,5,8.791186332702637,6576.02880859375
1,6,7.001868724822998,1098.684326171875
1,7,8.08732795715332,3252.98388671875
1,8,8.307878494262695,4055.69970703125
1,9,7.231570720672607,1382.39208984375
1,10,8.270318984985352,3906.19482421875
1,11,8.498276710510254,4906.306640625
1,12,8.170829772949219,3536.277099609375
1,13,7.625542640686035,2049.892578125
1,14,7.614539623260498,2027.461181640625
1,15,7.11494779586792,1230.2193603515625
1,16,6.975353240966797,1069.93505859375
1,17,7.781027793884277,2394.73486328125
1,18,7.855891227722168,2580.894287109375
1,19,8.176292419433594,3555.6474609375
1,20,7.219593524932861,1365.9337158203125
1,21,7.675089359283447,2154.01611328125
1,22,5.818990230560303,336.6319580078125
1,23,7.732700824737549,2281.756591796875
1,24,8.544553756713867,5138.69140625
2,0,6.11190128326416,451.19573974609375
2,1,5.441112995147705,230.6988067626953
2,2,7.033292293548584,1133.757080078125
2,3,6.667250156402588,786.2305908203125
2,4,6.369853973388672,583.9725341796875
2,5,8.160235404968262,3499.01025390625
2,6,5.738202095031738,310.5056457519531
2,7,6.5884575843811035,726.6591796875
2,8,5.756065368652344,316.1021423339844
2,9,5.808679103851318,333.1787414550781
2,10,6.215251922607422,500.322021484375
2,11,6.050124168395996,424.16571044921875
2,12,6.632047653198242,759.0347900390625
2,13,5.695675849914551,297.5778503417969
2,14,5.852078914642334,347.9570007324219
2,15,6.140519618988037,464.2947692871094
2,16,4.973865509033203,144.58470153808594
2,17,4.847133159637451,127.37470245361328
2,18,5.928157329559326,375.4620361328125
2,19,6.1686482429504395,477.5401611328125
2,20,6.546788692474365,697.0023193359375
2,21,4.854299068450928,128.29074096679688
2,22,6.967313289642334,1061.3673095703125
2,23,5.009078025817871,149.76658630371094
2,24,6.817490100860596,913.6888427734375
3,0,5.4374775886535645,229.8616485595703
3,1,5.056820392608643,157.09024047851562
3,2,4.960003852844238,142.59434509277344
3,3,5.871718406677246,354.8582458496094
3,4,5.235065460205078,187.74139404296875
3,5,5.456379413604736,234.24777221679688
3,6,4.800827980041504,121.61106872558594
3,7,5.166267395019531,175.25942993164062
3,8,4.838984966278076,126.34104919433594
3,9,5.1255927085876465,168.2738494873047
3,10,4.268527030944824,71.41636657714844
3,11,5.671145915985107,290.3670654296875
3,12,5.348756313323975,210.34652709960938
3,13,5.873877048492432,355.6250915527344
3,14,6.119740009307861,454.7464599609375
3,15,4.873932838439941,130.83445739746094
3,16,6.04176664352417,420.635498046875
3,17,5.3411688804626465,208.75657653808594
3,18,4.882061958312988,131.90235900878906
3,19,6.09503698348999,443.65045166015625
3,20,5.057671546936035,157.2239990234375
3,21,6.050192356109619,424.1946105957031
3,22,5.377083778381348,216.39031982421875
3,23,5.286838531494141,197.7173614501953
3,24,6.702148914337158,814.1535034179688
4,0,5.210727214813232,183.22726440429688
4,1,4.988392353057861,146.7003936767578
4,2,4.438967227935791,84.68743133544922
4,3,5.144237041473389,171.4406280517578
4,4,4.467215061187744,87.11377716064453
4,5,4.919788360595703,136.97361755371094
4,6,4.882678031921387,131.983642578125
4,7,5.01265287399292,150.30294799804688
4,8,4.481884956359863,88.4011459350586
4,9,4.668386936187744,106.52577209472656
4,10,5.070923805236816,159.32144165039062
4,11,5.3364410400390625,207.77194213867188
4,12,4.747941493988037,115.34659576416016
4,13,5.508912563323975,246.88250732421875
4,14,4.499819755554199,90.00090789794922
4,15,5.3519392013549805,211.01710510253906
4,16,5.343994617462158,209.34730529785156
4,17,5.0366106033325195,153.9473419189453
4,18,5.117911338806152,166.98622131347656
4,19,5.796886920928955,329.2729187011719
4,20,5.939465045928955,379.73175048828125
4,21,5.536553382873535,253.80172729492188
4,22,4.878778457641602,131.469970703125
4,23,5.080080509185791,160.78700256347656
4,24,4.721046447753906,112.28569030761719
5,0,4.418254852294922,82.9513931274414
5,1,4.630370616912842,102.55206298828125
5,2,4.418837070465088,82.99971008300781
5,3,4.441585540771484,84.90946197509766
5,4,4.918327331542969,136.77365112304688
5,5,5.040116786956787,154.48805236816406
5,6,5.198023796081543,180.91436767578125
5,7,5.3429856300354,209.1361846923828
5,8,5.164841175079346,175.00965881347656
5,9,4.3631391525268555,78.50318145751953
5,10,5.740011692047119,311.06805419921875
