loss,perplexity,epoch,time
10.510144233703613,43941.84765625,0,21.905646085739136
7.893197536468506,3514.369384765625,1,15.553590059280396
6.094940662384033,609.589599609375,2,14.988816976547241
5.397563457489014,257.0335998535156,3,13.126621007919312
5.0472893714904785,168.61306762695312,4,17.759943962097168
4.929311752319336,145.91969299316406,5,14.192141056060791
4.8140034675598145,132.7826690673828,6,13.03701901435852
4.790321350097656,128.3712615966797,7,14.630457878112793
4.752750873565674,127.69063568115234,8,21.060441732406616
4.782858848571777,125.2538070678711,9,22.770416736602783
